ZipCode,RmatNumber,TotalNumberOfCompanies,Small,Medium,Large,TotalEmployees,TotalSales,City,County
90001,13,37,18,11,8,1178,0,Los Angeles,Los  Angeles
90002,13,6,4,2,0,97,0,Los Angeles,Los  Angeles
90003,13,10,4,3,3,615,0,Los Angeles,Los  Angeles
90004,9,5,3,2,0,66,0,Los Angeles,Los  Angeles
90005,13,2,1,0,1,85,0,Los Angeles,Los  Angeles
90006,13,8,2,4,2,205,0,Los Angeles,Los  Angeles
90007,9,30,16,10,4,881,0,Los Angeles,Los  Angeles
90008,9,4,1,3,0,94,0,Los Angeles,Los  Angeles
90009,9,1,0,1,0,47,0,Los Angeles,Los  Angeles
90010,13,10,6,4,0,159,0,Los Angeles,Los  Angeles
90011,13,40,20,17,3,763,0,Los Angeles,Los  Angeles
90012,13,18,12,5,1,280,0,Los Angeles,Los  Angeles
90013,13,34,18,13,3,636,0,Los Angeles,Los  Angeles
90014,13,39,23,13,3,662,0,Los Angeles,Los  Angeles
90015,13,68,29,28,11,2168,0,Los Angeles,Los  Angeles
90016,9,43,20,20,3,1143,0,Los Angeles,Los  Angeles
90017,9,56,25,20,11,1441,0,Los Angeles,Los  Angeles
90018,9,8,3,4,1,151,0,Los Angeles,Los  Angeles
90019,9,10,5,5,0,156,0,Los Angeles,Los  Angeles
90020,9,2,0,2,0,28,0,Los Angeles,Los  Angeles
90021,9,116,48,47,21,4212,0,Los Angeles,Los  Angeles
90022,13,29,10,10,9,2680,0,Los Angeles,Los  Angeles
90023,13,90,36,37,17,2859,0,Los Angeles,Los  Angeles
90024,13,34,12,18,4,821,0,Los Angeles,Los  Angeles
90025,13,39,17,14,8,4323,0,Los Angeles,Los  Angeles
90026,13,6,1,3,2,342,0,Los Angeles,Los  Angeles
90027,13,9,7,2,0,82,0,Los Angeles,Los  Angeles
90028,13,14,5,6,3,457,0,Los Angeles,Los  Angeles
90029,13,5,0,4,1,286,0,Los Angeles,Los  Angeles
90030,13,0,0,0,0,0,0,Los Angeles,Los  Angeles
90031,13,22,8,8,6,702,0,Los Angeles,Los  Angeles
90032,13,18,7,7,4,509,0,Los Angeles,Los  Angeles
