ZipCode,RmatNumber,TotalNumberOfCompanies,Small,Medium,Large,TotalEmployees,TotalSales,City,County,Latitude,Longitude,CountyColor
90001,13,37,18,11,8,1178,112470568.5,Los Angeles,Los Angeles,33.9731,-118.2479,#408000
90002,13,6,4,2,0,97,40290191.78,Los Angeles,Los Angeles,33.9497,-118.2462,#408000
90003,13,10,4,3,3,615,19345616.79,Los Angeles,Los Angeles,33.9653,-118.2727,#408000
90004,9,5,3,2,0,66,2996895.01,Los Angeles,Los Angeles,34.0762,-118.3029,#408000
90005,13,2,1,0,1,85,3203328.88,Los Angeles,Los Angeles,34.0585,-118.3012,#408000
90006,13,8,2,4,2,205,23257052.22,Los Angeles,Los Angeles,34.0493,-118.2917,#408000
90007,9,30,16,10,4,881,103432893.8,Los Angeles,Los Angeles,34.0294,-118.2871,#408000
90008,9,4,1,3,0,94,14886124.98,Los Angeles,Los Angeles,34.0116,-118.3411,#408000
90009,9,1,0,1,0,47,0,Los Angeles,Los Angeles,34.0522,-118.2437,#408000
90010,13,10,6,4,0,159,35872318.79,Los Angeles,Los Angeles,34.0606,-118.3027,#408000
90011,13,40,20,17,3,763,92810626.19,Los Angeles,Los Angeles,34.0079,-118.2582,#408000
90012,13,18,12,5,1,280,27600640,Los Angeles,Los Angeles,34.0614,-118.2385,#408000
90013,13,34,18,13,3,636,111541833.7,Los Angeles,Los Angeles,34.0448,-118.2434,#408000
90014,13,39,23,13,3,662,128318935.8,Los Angeles,Los Angeles,34.0443,-118.2509,#408000
90015,13,68,29,28,11,2168,351648110.5,Los Angeles,Los Angeles,34.0434,-118.2716,#408000
90016,9,43,20,20,3,1143,123387244.4,Los Angeles,Los Angeles,34.0298,-118.3528,#408000
90017,9,56,25,20,11,1441,134426539.1,Los Angeles,Los Angeles,34.0559,-118.2666,#408000
90018,9,8,3,4,1,151,18501020.71,Los Angeles,Los Angeles,34.029,-118.3152,#408000
90019,9,10,5,5,0,156,18334767.36,Los Angeles,Los Angeles,34.0482,-118.3343,#408000
90020,9,2,0,2,0,28,5753979.79,Los Angeles,Los Angeles,34.0665,-118.3022,#408000
90021,9,116,48,47,21,4212,3216323598,Los Angeles,Los Angeles,34.0333,-118.2447,#408000
90022,13,29,10,10,9,2680,94984405.22,Los Angeles,Los Angeles,34.0245,-118.1561,#408000
90023,13,90,36,37,17,2859,250085114.6,Los Angeles,Los Angeles,34.0245,-118.1975,#408000
90024,13,34,12,18,4,821,2139687324,Los Angeles,Los Angeles,34.0637,-118.4408,#408000
90025,13,39,17,14,8,4323,828361549,Los Angeles,Los Angeles,34.0447,-118.4487,#408000
90026,13,6,1,3,2,342,11219912.01,Los Angeles,Los Angeles,34.0766,-118.2646,#408000
90027,13,9,7,2,0,82,8750830.01,Los Angeles,Los Angeles,34.104,-118.2925,#408000
90028,13,14,5,6,3,457,70487148.81,Los Angeles,Los Angeles,34.1005,-118.3254,#408000
90029,13,5,0,4,1,286,42622198.9,Los Angeles,Los Angeles,34.09,-118.2944,#408000
90030,13,0,0,0,0,0,0,Los Angeles,Los Angeles,34.0522,-118.2437,#408000
90031,13,22,8,8,6,702,137023840.9,Los Angeles,Los Angeles,34.0783,-118.2113,#408000
90032,13,18,7,7,4,509,229677937.5,Los Angeles,Los Angeles,34.0818,-118.1753,#408000
90033,13,24,8,8,8,1151,128860077.1,Los Angeles,Los Angeles,34.0487,-118.2084,#408000
90034,13,27,17,7,3,657,89132695.78,Los Angeles,Los Angeles,34.029,-118.4005,#408000
90035,13,13,7,3,3,595,8899074.86,Los Angeles,Los Angeles,34.0531,-118.3806,#408000
90036,13,23,13,8,2,535,107337929,Los Angeles,Los Angeles,34.0699,-118.3492,#408000
90037,13,14,6,4,4,538,31762907.76,Los Angeles,Los Angeles,34.003,-118.2863,#408000
90038,13,14,7,5,2,239,46551461.93,Los Angeles,Los Angeles,34.0898,-118.3215,#408000
